id                                  ;name                                   ;description                                                  ;sku 			;version
550e8400-e29b-41d4-a716-446655440001;Классический сэндвич с ветчиной и сыром;Свежий багет, ветчина, сыр Чеддер, салат, помидор, соус      ;SANDWICH-001 ;0
550e8400-e29b-41d4-a716-446655440002;Итальянский сэндвич                    ;Чиабатта, салями, моцарелла, руккола, вяленые томаты         ;SANDWICH-002 ;0
550e8400-e29b-41d4-a716-446655440003;Вегетарианский сэндвич                 ;Цельнозерновой хлеб, авокадо, огурец, помидор, хумус         ;SANDWICH-003 ;0
550e8400-e29b-41d4-a716-446655440004;Клаб сэндвич с курицей                 ;Белый хлеб, куриная грудка, бекон, салат, помидор, майонез   ;SANDWICH-004 ;0
550e8400-e29b-41d4-a716-446655440005;Сэндвич с тунцом                       ;Ржаной хлеб, тунец, кукуруза, лук, сельдерей, йогуртовый соус;SANDWICH-005 ;0
550e8400-e29b-41d4-a716-446655440006;Сэндвич с ростбифом                    ;Бриошь, ростбиф, хрен, руккола, жареный лук                  ;SANDWICH-006 ;0
550e8400-e29b-41d4-a716-446655440007;Сэндвич с лососем и сливочным сыром    ;Багет, слабосоленый лосось, сливочный сыр, укроп, огурец     ;SANDWICH-007 ;0
550e8400-e29b-41d4-a716-446655440008;Мексиканский сэндвич                   ;Тортилья, острый цыпленок, перец халапеньо, кукуруза, сальса ;SANDWICH-008 ;0
550e8400-e29b-41d4-a716-446655440009;Греческий сэндвич                      ;Пита, цыпленок, фета, оливки, помидор, огурец, цацики        ;SANDWICH-009 ;0
550e8400-e29b-41d4-a716-446655440010;Сэндвич с пастрами                     ;Рожь, пастрами, швейцарский сыр, квашеная капуста, горчица   ;SANDWICH-010 ;0
550e8400-e29b-41d4-a716-446655440011;Сэндвич с индейкой и клюквой           ;Цельнозерновой хлеб, индейка, клюквенный соус, салат, авокадо;SANDWICH-011 ;0
550e8400-e29b-41d4-a716-446655440012;Французский сэндвич круассан           ;Круассан, ветчина, сыр Эмменталь, бешамель                   ;SANDWICH-012 ;0
550e8400-e29b-41d4-a716-446655440013;Сэндвич с песто и моцареллой           ;Чиабатта, песто, моцарелла, вяленые томаты, руккола          ;SANDWICH-013 ;0
550e8400-e29b-41d4-a716-446655440014;Азиатский сэндвич с уткой              ;Булочка, утка, хойсин, огурец, зеленый лук                   ;SANDWICH-014 ;0
550e8400-e29b-41d4-a716-446655440015;Сэндвич с яйцом и беконом              ;Белый хлеб,яичница, бекон, салат, помидор                    ;SANDWICH-015 ;0
